title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,361 ratings",In Stock
"Flagship Newest Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.6 out of 5 stars,195 ratings,Not Available
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,3.9 out of 5 stars,35 ratings,Only 14 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,41 ratings,In Stock
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,337 ratings,Not Available
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.5 out of 5 stars,305 ratings,Not Available
"MOVONE Wireless Controller Dual Vibration Game Joystick Controller for PS4/ Slim/Pro,Compatible with PS4 Console",,4.2 out of 5 stars,"1,026 ratings",In Stock
PlayStation 5 Console -  Marvel’s Spider-Man 2 Bundle (slim),,4.7 out of 5 stars,"2,054 ratings",In Stock
"Charger Dock Station for PS4, 1.8 Hrs Fast Charging for PS4 Charging Station, with LED Indicator Charging Chip, Dual USB Charger Dock for PS4/PS4 Slim/PS4 Pro Charger",,4.6 out of 5 stars,"14,068 ratings",In Stock
"AceGamer Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joystick for PS4, Compatible with PS4, Slim, Pro and Windows PC",,4.1 out of 5 stars,"1,269 ratings",In Stock
"AceGamer Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Lightning)",,4.2 out of 5 stars,285 ratings,In Stock
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"36,827 ratings",In Stock
"2 Pack Wireless Controller for PS4/Pro/Slim Consoles, Compatible with Playstation 4, Steam, PC Windows/iOS/Android with Upgraded Analog Sticks/Turbo/6-Axis Motion Sensor/Headphone Audio/Turbo",,4.2 out of 5 stars,57 ratings,Only 8 left in stock - order soon.
"AceGamer Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Audio Jack! Thumb Caps Included! (Pink-White)",,4.2 out of 5 stars,540 ratings,In Stock
OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro with Dual Controller EXT Port Charger Dock Station and 12 Game Slots,,4.5 out of 5 stars,"44,872 ratings",In Stock
"4K HDMI to HDMI Cable 5ft 2.0, 18Gbps 4K Ultra High Speed Braided HDMI Cord Ethernet Audio Return, Video 4K, FullHD1080p 3D Compatible with Gaming Monitor Xbox Playstation Arc PS3 PS4 PS9 PC HDTV",,5.0 out of 5 stars,4 ratings,Only 2 left in stock - order soon.
Hogwarts Legacy - PlayStation 4 | English | EU Version Region Free,,4.6 out of 5 stars,565 ratings,In Stock
Rolling Universal Gaming Backpack for Xbox One X/S/Playstation 4 Slim/PS4/XB1/XB360/PS3,,3.7 out of 5 stars,50 ratings,In Stock
"Voice Changer Gaming Headset with Mic for Xbox One,PC,PS4,Over-Ear Headphones with Volume Control LED Light Cool Style Stereo,Noise Reduction for Phone/PS4/Xbox/Switch/IPad/Computer/Kids",,3.7 out of 5 stars,174 ratings,In Stock
"Tatybo Wireless Gaming Headset for PS4, PS5, PC - 2.4GHz Gaming Headphones with Detachable Noise Canceling Microphone, 30H+ Battery Gamer Headsets for Switch, Mac, Phone (Black)",,4.5 out of 5 stars,571 ratings,In Stock
